a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
acidification	n发酸;酸化;成酸性
acidifier	n成酸剂
acidify	vt.酸化;发酸;使成酸性
acidimeter	n酸液比重计
acidimetry	n酸量滴定法
acidity	n酸味;酸(性)度
acidize	v.用酸处理;使酸化;使发酸;转化为酸
acid looks	n不和乐的表情
acidly	adv.不和悦地;尖刻地
acidness	n不和悦的样子
acidogenic	adj.引起酸化的
acidoid	n可能变酸的物质;adj.有变酸倾向的
acidophil	n嗜酸细胞;adj.嗜酸的
acidophilic	adj.嗜酸的
acidophilus	adj.嗜酸的
acidosis	n酸中毒
acidproof	adj.耐酸的
acid rain	n酸雨
acid rock	n疯狂摇滚乐曲
acid soil	n酸性土壤
acid stomach	n胃酸过多
acid test	n酸性试验;严密的检查;决定性的分折
acidtongued	adj.说话非常尖酸的
acid trip	n吃迷幻药後引起的幻觉(经历)
acidulate	v.酸化;使稍带酸味;使性情乖僻;使难受
acidulated	adj.带酸味的;微酸的;性情乖僻的;易怒的
acidulous	adj.稍酸味的;不和悦的;锐利的;性情乖僻
aciduric	adj.耐酸的
acidy	adj.有些酸味的
acierate	vt.使成钢
aciform	adj.针状的
acinaceous	adj.[植]多子的
acinacifoliate	adj.[植]弯月状的
acinaciform	adj.[植]弯月状的
aciniform	adj.腺胞状的;葡萄状的
acinus	n小核果;葡萄核;葡萄状腺
acious	有…倾向的;多…的
acity	…性;富於…
ackack	nadj.[军俚]高射炮(的)
ackemma	n上午;飞机修理工
ackey	n西非黄金海岸用银元;电镀用的硝酸硫酸混合液
acknowledge	vt.承认;感谢;公证
acknowledged	adj.公认的;被认可的;已有定评的
acknowledgement	=acknowledgment
acknowledgment	n世所承认;感谢;谢意
aclinic	adj.无倾角的
acme	n顶点;极点
acmesthesia	n尖端触觉
ac\nadv	n学会;中等教会
acne	n痤疮;粉刺
acnemia	n小腿肌肉萎缩症
acnode	n[数]孤点
acoasm	n听幻觉;幻觉
acock	adj.(帽边)反卷的;歪斜的;警觉的;adv.反卷地;歪斜地;警觉地
acoelomate	adj.[动]无体腔的
acold	adj.寒冷的
acolyte	n沙弥;侍僧;助手;新手
aconite	n[植]附子;乌头
aconitic	adj.[植]附子的;乌头的
aconitine	n乌头硷
a constant guest is never welcome	n常客不受欢迎
a contented mind is a perpetual feast	n知足常乐
acontrol	n[美]原子能控制
acorn	n榭子;橡子
acorn cup	n橡实之外壳;壳斗
acorn shell	n[动]藤壼
acorn tube	n橡形真空管
acosmism	n无宇宙论
acosmist	n无宇宙论者
acosmistic	n无宇宙论者的
acotyledon	n无子叶植物
acotyledonous	n无子叶的
acoumeter	n测听计;听力计
acoumetry	n测听术
acouophonia	n[医]打诊;音响诊断
acouphone	n微音传达器
acoup sur	n准确无误
acousam	=acoasm
acousma	=acoasm
acoustic	adj.听觉的;助听的;原声的
acoustical	=acoustic
acoustically	adv.听觉上;声学上
acoustician	n音响学家;声学家
acousticon	n助听器
acoustics	n声学;音响装置
acoustic torpedo	n音响鱼雷
acoustimeter	n测音计
acousto	pref.声音;声波
acoustometer	n检响计
acoustooptic	adj.声光的
acpt	=acceptance
acquaint	vt.使熟悉;告知;子解
acquaintance	n相识;熟人;习知;熟悉
acquaintanceship	n认识;相熟;相识;交住关系
acquainted	adj.有知识的;知晓的;结识的
acquaint oneself with	熟悉(环境);通晓
acquest	n取得;获得
acquiesce	vi.默认;(勉强)听从
acquiescence	n默许;顺从
acquiescent	adj.默认的;顺从的
acquiescently	adv.默认地;顺从地
acquirability	n可得;可获
acquirable	adj.可得的;可获的
acquire	vt.获得;学得
acquired	adj.已得到的;已成习惯的
acquired immunity	n後先免疫性
acquirement	n取得;习得;学识;技艺
acquisition	n获得;所获;学得
acquisitive	adj.想获得的;贪得无厌的
acquisitively	adv.贪得无厌地
acquit	vt.开释;免罪;偿债
acquitment	n释放;不起诉;履行;偿债
acquittal	=acquitment
acquittance	n宣告无罪;免除;解除;偿债收据
acraldehyde	n[化]丙烯醛
acranial	adj.缺颅的
acrasin	n聚集素
acrawl	adj.缓慢行进的;拥挤的;蠕动的
acre	n英亩;耕地
acreage	n英亩数;按亩出售或分配之土地
a creaking door hangs long	n嘎嘎作响的门才耐久
a creaking gate hangs long	n嘎嘎作响的门才耐久
acred	adj.拥有许多地产的
acrefoot	n英亩尺(灌溉上的水量单位)
acreinch	n英亩寸(即一英亩尺之十二分之一)
acrid	adj.辛辣的;毒辣的;刻薄的;腐蚀性的
acridine	n一氮葱
acridity	n辛辣;苦;狠毒;刻薄
acridness	=acridity
acrimonious	adj.毒辣的;尖刻的;刺激的;剧烈的
acrimoniously	adv.毒辣地;尖刻地;刺激地;剧烈地
acrimony	n苛刻;毒辣;(性格)暴烈
acrita	n最下等动物
acritical	adv.不危急的(病);不危险的;不严重的
acro	pref.极;高
acrobat	n杂技演员;卖艺者
acrobatic	n杂技表演的;卖艺者的
acrobatics	npl.杂技;特技
acrobatism	n特技;杂技
acrocarpous	adj.[植]茎端结实的
acrocephalia	n尖头的;尖头畸形的
acrocephaly	=acrocephalia
acrocyanosis	n[医]手足发绀
acrodont	adj.边齿的;端生齿的
acrodrome	adj.脉向尖聚集的
acrodromous	=acrodrome
acrodynia	n肢端痛
acrogen	n顶生植物
acrogenous	adj.顶生的;上端生长的
acrolein	n[化]丙烯醛
acrolith	n石首石肢的木身像
acromegalic	n[医]肢端肥大病患者;adj.肢端肥大症的
acromegaly	n[医]肢端肥大症
acromion	n[解]肩峰
acronical	adj.日落时(发生)的;薄暮(发生)的
acronichal	=acronical
acronycal	=acronical
acronychal	=acronical
acronym	n首字母缩略法
acronymic	adj.首字母缩略字的
acronymize	v.使成为首字母缩略字
acronymous	=acronymic
acropathy	n[医]四肢病
acropetal	adj.[植]向顶的
acrophobe	n畏高症患者
acrophobia	n畏高症
acropolis	n城堡;雅典的卫城
acrosin	n精子酵素
acrospire	n(萌发种子最先生出的)旋状幼芽;幼根
across	adv.pre.横过，越过;在另一边;交叉
across the board	adj.全盘的;全面的
acrostic	n[诗]离合诗句;adj.离合诗句的
acrotheater	n曲艺杂技联合演出
acrotism	n弱脉
acrux	n[天]南十字星座中的一个星
acrylic	adj.[化]亚加力的;丙烯酸的
acrylonitrile	n[化]一种制造橡胶的原料
act	n行为;法令;[戏]幕;v.表现;扮演;假装;举动
actable	adj.可演的;可实行的
act as	充当;担任…角色
act for	代理
actg	=acting
actin	pref.射线;光线
actinal	adj.有触器官的
acting	n行为;演出;代理;adj.代理的;临时的;演戏用的
actinia	n红海葵;刺水母
actiniae	npl.=actinia
actinic	adj.化学线的;化学线作用的;光化性的
actinicity	n光化性
actinide	n放射线元素
actinism	n放射线作用
actinium	n[化]锕
actino	pref.=actin-
actinobacillus	n放线扞菌属
actinochemistry	n光化学
actinodermatitis	[医]X光皮炎
actinogram	nX光像
actinograph	n日光仪
actinoid	adj.放射线状的
actinolite	n[矿]光线石
actinology	n放射线学
actinometer	n光度计
actinometry	n光量测定
actinomorphic	adj.放射状的;辐射对称的
actinomorphous	=actinomorphic
actinomycelial	adj.放线菌的
actinomyces	n放线菌
actinomycete	n放射菌类
actinomycin	n放射菌素
actinomycosis	n放射菌病
actinomycotic	n放射菌病的
actinon	n青
actinotherapy	n放射疗法
actinouranium	n[化]锕铀
actinozoan	n珊瑚虫;花形虫;adj.珊瑚虫的;花形虫的
action	n行动;动作;战斗;诉讼;表演
actionability	n可控诉的情形
actionable	adj.可控诉的
actionist	n行动主义者
actionless	adj.没有行动的
action shot	n动态照片
action spectrum	n光谱
activate	vt.使活动;使有放射能;活化
activated	adj.活泼性的;因空气流通而净化的
activation	n活化;激动;军事单位之成立
activator	n使活化物;催化剂
active	adj.主动的;积极的
active army	n现役军人
active capital	n流动资本
active carbon	n活性炭
active duty	n现役
active immunity	n自动免疫性
active list	n现役军人名册
actively	adv.积极地;活跃地;主动地
active service	n现役;战时服役
active voice	n主动语态
activise	v.使活动;使活泼
activism	n行动主义
activist	n行动主义者;积极分子
activity	n活动(力)
activize	=activise
actiyator	n调速控制器
act of god	n天灾;不可抗力
act of grace	n恩典;大赦令
act of war	n戢争行为;侵略行为
actomyosin	n肌动球蛋白
act on	按照(指示)行事
acton	n铠衣;锁子甲
actor	n男演员;实行者
actorish	adj.戏剧性举动的
actor proof	adj.有戏剧效果的
act out	演出…
actress	n女演员;女实行者
actual	adj.真的;现实的;实际的
actualise	v.实现;现实化
actualism	n现实论;现实主义
actualist	n现实论者;现实主义者
actualistic	adj.现实主义的
actualite	n当前话题;时事
actuality	n现实;现状
actualization	n现实;现实化
actualize	=actualise
actually	adv.实际地;真实地
actual residence	n现址;居所
actuarial	adj.保险统计师的;保险统计的
actuary	n保险统计师
actuate	vt.开动;驱使…;鼓励
actuation	n活动;激励;冲动
actuator	n促动机;调节器
act up	调皮捣蛋;对…产生反应
act upon	遵照行事
act wait	n幕间休息
acuity	n敏锐;激烈;尖锐;苛刻;急性
aculeate	adj.尖锐的;有刺的;有螯的
aculeated	=aculeate
aculeus	n螯针;刺
acumen	n敏锐;聪明
acuminate	adj.锐利的;有尖头的;v.使尖;使锐敏
acumination	n锐;锐锋;尖头
acuminous	adj.尖锐的
acupressure	n针压(止血)法
acupuncture	n针灸;针刺法;v.施行针灸;针疗
acupuncture therapy	n针疗法
acupuncturist	n针灸师
acus	n针(外科手术用)
acusection	n电针割法
acusector	n电针;电割针
acushla	n爱人
acutance	n敏感度
acute	adj.尖锐的;敏锐的;激烈的;严厉的;急性的
acute angle	n锐角
acute gastritis	n急性胃炎
acutely	adv.尖锐地;剧烈地
acuteness	n尖锐;剧烈;锐度
acuti	pref.尖的;尖锐的
acutilingual	adj.尖嘴的
acy	性质;状态;状况
acyclic	nadj.非环式(的);非周期性(的)
acyl	n[化]醯
ad	pref.向…;加於…
adactylous	adj.无指的;缺趾的
adae	n手斧
adage	n格言;箴言;谚语
ad agency	n广告代理商
ad agent	n广告代理人
adagietto	adj.adv.更缓慢(的，地)
adagiettos	n慢板短曲
adagio	n柔板;慢板的曲子;adj.adv.缓慢(的，地)
adagissimo	adj.adv.很慢(的，地)
adak	n艾德克岛(阿留申群岛之一)
adam	n亚当
adamant	n坚石;坚硬无比的东西;adj.坚硬无比的;铁石般的;坚决的
adamantine	n金刚硼;金刚合金;冷铸钢粒;adj.铁石般的;坚决的;金刚石的
adamic	adj.[圣]亚当的
adamite	n亚当的後裔;人;裸体者
adams	n亚当斯
adams ale is the best brew	n水是最好的饮料
adams apple	n喉核;植物车前属;柚
adamsite	n喷嚏性毒气;亚当毒气;暗绿云母;二苯胺氯胂
adapt	v.使适合;改编;改写
adaptability	n适应性;可塑性
adaptable	adj.能适应的;可通融的;可改编的
adaptation	n适应;改编;改造物
adapted	adj.适合的
adapter	n改编者;接头;转接器;插座
adaption	=adaptation
adaptive	adj.适合的;适应的;能适应的
adaptor	n[美]编剧者;改编者;转接器;诱导管;承接管
adapt to	适合
adaquately	adv.适当地;充分地
adat	n[印尼]传统法律
adaxial	adj.近轴的
aday	n原子弹投袭日
adb	=Asian Development Bank亚洲开发银行
adc	=aide de camp副官
adcolumn	n广告栏
adcraft	n[总]广告代理商
add	v.加起;增添;附言
addax	n曲角羚羊
added	adj.更多的;附加的
addend	n加数
addenda	pl.=addendum
addendum	n补遗;附加物
adder	n蝮蛇;加算器
adders mouth	n沼兰属植物
adders tongue	n瓶尔子草属植物;山慈姑
addible	adj.可增加的
addict	vt.耽溺;n有瘾
addicted	adj.耽溺於某种嗜好中的
addiction	n耽溺;上瘾
addictive	adj.上瘾的
addict to	耽溺於…;热爱…
add in	包括;加入
adding machine	计算器
addisonian	adj.患有艾迪生病的
additament	n增加物
addition	n加法;增加
additional	adj.附加的;另外的;补充的
additionally	adv.加之;另外
additional tax	n附加税
additive	n添加剂;添加物;加法;adj.加法的
additivity	n添加;添加性
additory	adj.附加的;可添加的
additron	n相加速器
addle	adj.腐败的;混乱的;v.使腐坏;变混乱
addlebrained	adj.头脑不清的;糊涂的;愚苯的
addled	adj.腐败的;混乱的
addlehead	n愚笨;傻瓜
addlepate	=addlehead
addlepated	=addlebrained
add on	另外加上去
address	n地址;致辞;演说;vt.写住址;演说
addressable	adj.可编址的
addressee	n收件人;收信人
addresser	n说话者;发言者;发信人
addressing machine	n姓名住址的印刷机
addressograph	n地址自动印刷机
addressor	=addresser
add to	增加
adduce	vt.引证;举例
adducent	adj.[生]内收的
adducible	adj.可以引用的
adduct	v.使内转;使内收
adduction	n引证;内收
adductor	n内收肌;内转筋
add up	合计
add up to	总计;意味着
ade	动作;过程;行动者
ademption	n[法]取消或撤回
aden	n[国]亚丁;亚丁湾
adenalgia	n[医]腺痛
adenectomy	n[医]腺切除术
adeni	adj.亚丁的
adenine	n[生化]腺嘌呤
adenitis	n[医]淋巴腺炎
adenocarcinoma	n[医]腺癌
adenoid	adj.[医]腺状肿的
adenoidal	adj.[医]腺状肿的;腺状的
adenoidectomy	n[医]腺样增殖切除术
adenoids	n[医]腺状肿
adenology	n[医]淋巴腺学
adenoma	n腺瘤
adenosine	n白色结晶粉末
adenovirus	n腺病毒
adept	adj.熟链的;内行的;n内行人;名人
adeptness	熟练;老练
adequacy	n适当;足够
adequate	adj.适当的;足够的
adequately	adv.足够地;充分地;适当地
adermin	n维他命B6
adespota	n佚名作品
adessive	nadj.位置格(的)
adfreeze	v.使冰冻黏附
adhere	vi.黏贴;坚持
adherence	n固守;依附;忠诚
adherent	adj.黏贴的，依附的;n信徒;拥护者
adhere to	墨守;信奉
adhesion	n黏贴;忠实
adhesive	adj.黏性的;n胶纸;黏贴物
adhesively	adv.黏贴地;胶着地
adhesive tape	n胶纸卷
adhibit	v.容许;采用;贴;服(药);认可
adhibition	n应用;采用;贴用;施;敷
ad hoc	adv.特别地;格外地;尤其地
adhocery	n专案化的决策或规则等
ad hominem	对人不对事的;偏私的
adiabat	n绝热线
adiabatic	adj.绝热的;隔热的
adiactinic	adj.不透化学线的
adiantum	n[植]石长生属植物
adiaphoresis	n不能出汗
adiaphoretic	n止汗药;adj.止汗的
adiaphorism	n冷淡态度
adiaphorist	n冷漠主义者
adiaphoristic	n冷漠主义的; 冷漠主义者的
adiaphorous	adj.无利亦无害的;冷淡的
adiathermancy	n不透红外线性
adieu	n(pl.adieus，adieux)告别;辞别;int.再会
adieus	pl.=adieu
adieux	pl.=adieu
ad infinitum	永远地;无限地
ad interim	过度的;暂时的;临时的
adios	int.再见
adipocere	n脂蜡体;屍油;屍蜡
adipoma	n[医]脂肪瘤
adipose	n动物性脂肪;adj.(多)脂肪的
adiposis	n肥胖病
adiposity	n脂肪过多;肥胖病
adipsia	n渴怠缺乏
adirondack	n阿尔岗金族印第安人
adit	n入口;横洞
adj	=adjective
adjacence	n接近;毗连
adjacency	n邻接;邻接物
adjacent	adj.邻接的;附近的
adjacent angles	[数]邻角
adjectival	adj.形容词的;有形容词之性质或功用的
adjectivally	adv.形容词般地;作形容词用地
adjective	n形容词;adj.形容词的;作形容词用的
adjoin	v.邻接
adjoining	adj.邻接的;隔壁的
adjoint	n[数]伴随
adjourn	v.暂停;休会;换会场;使延期
adjournment	n延期;闭会;换会场
adjt	=Adjutant
adjudge	vt.判决;宣判;判断
adjudgement	n判决;宣告;定罪
adjudgment	=adjudgement
adjudicate	v.判决;宣判
adjudication	n判决;宣判
adjudication order	n判决令
adjudicative	adj.判决的;裁定的
adjudicator	n判决者;评判人
adjunct	n附属物;助手;[文]修饰语;adj.附加的;辅助的
adjunction	n添加;附加
adjunctive	adj.附加的;辅助的
adjunct professor	n副教授
adjuration	n恳求;请愿;誓言;咒语
adjuratory	adj.誓言的;恳求的
adjure	vt.恳求;请求;咒语
adjust	vt.调整;适应;[保险]理赔损失
adjustability	n适应性
adjustable	adj.可调整的;可适合的
